,code,title,points_r1_2021,points_r1_2020,points_r1_2019
454,NC104,Business Computing,242,235,625*
455,RC001,Medicine - Undergraduate Entry (HPAT required),741,379,590*
456,RC004,Physiotherapy,589,855,578*
457,RC005,Pharmacy,613,572,577
458,RC101,Medicine - Graduate Entry (GAMSAT required),,506,601*
459,NM701,Montessori Education,137,593,578*
460,NM801,Montessori Education,262,939,558
461,NM802,Psychology,228,781,495
462,TU605,Electronic and Information Engineering,190,920,554
463,TU606,Mechanical Engineering (General Entry),192,650,555
464,TU641,Bar and Restaurant Management,243,990,613*
465,TU642,Culinary Arts (Cuisine and Wellness),154,219,613*
466,TU643,Culinary Arts (Professional Cookery Practice),242,201,577
467,TU644,Food Management and Entrepreneurship,250,754,497
468,TU645,Food Science and Management,251,683,564
469,TU651,Applied Biology,361,228,530
470,TU652,Computing,240,276,487
471,TU654,Pharmacy Technician Studies,350,510,391
472,TU655,Computing (Networking Technologies) Learn and Work,502,407,566
473,TU670,Business (campus options),224,407,462
474,TU673,Business Management,301,531,#473
475,TU674,Business Studies,307,533,442
476,TU675,Marketing,301,510,412
477,TU676,Retail Management and Marketing,290,601,531*
478,TU701,Automation Engineering,243,440,521
479,TU702,Sustainable Energy and Environmental Engineering,249,456,555
480,TU703,Building Engineering,273,410,463
481,TU704,Civil Engineering,260,418,445
482,TU705,Electrical and Control Engineering,272,477,565*
483,TU706,Electrical Services Engineering,245,531,577
484,TU708,Engineering (Common Entry with Award options),AQA,311,554
485,TU709,Engineering (General Entry),400,297,613*
486,TU711,Mechatronic Engineering,225,589,510
487,TU713,Computer Engineering,222,,454
488,TU714,Electronics and Communications Engineering,262,478,531
489,TU716,Networking Technology,249,737,566
490,TU717,Mechanical Engineering,301,,#601*
491,TU719,"Design,Technology and Innovation",261,534,521
492,TU720,Automotive Management and Technology,232,,#743*
493,TU721,Aviation Technology,302,578,566*
494,TU722,Process Instrumentation and Automation Learn and Work (Test&Interview),346,510,601*
495,TU725,Mechanical Engineering (General Entry),222,455,544
496,TU726,Electronic Engineering (General Entry),215,590,484
497,TU731,"Auctioneering, Valuation and Estate Agency",330,429,613*
498,TU735,Sports Management and Coaching,270,509,462*
499,TU736,Sports Science and Health,484,489,533
500,TU737,Sports Studies,250,397,510
501,TU741,Baking and Pastry Arts Management,231,310,442
502,TU742,Culinary Arts,158,340,381
503,TU745,Hospitality Management,252,303,397
504,TU746,International Hospitality and Tourism Management,157,546,320
505,TU747,Tourism Management,263,545,576
506,TU751,Biosciences,418,521,573
507,TU752,DNA and Forensic Analysis,500,517,555
508,TU754,Industrial and Environmental Physics,273,613,555
509,TU755,Science (General Entry),361,421,625*
510,TU756,Computing,201,498,475
511,TU757,Computing (Information Technology),227,530,534
512,TU758,Digital Forensics and Cyber Security,223,378,566
513,TU760,Bioanalysis,360,,421
514,TU761,Ophthalmic Dispensing,316,,307
515,TU762,Medicinal Chemistry and Pharmaceutical Sciences,320,,301
516,TU763,Pharmaceutical Science,391,,309
517,TU772,Business (options),AQA,163,320
518,TU780,Advertising and Marketing Communications,201,250,320
519,TU781,Digital Marketing,223,250,305
520,TU782,Digital Marketing,200,277,368
521,TU787,Business (options),200,281,358
522,TU788,Accounting and Finance (campus options),231,278,404
523,TU790,Early Childhood Care and Education (campus options),223,278,336
524,TU791,Applied Social Studies in Social Care,320,309,331
525,TU792,Community and Youth Development,AQA,287,371
526,TU795,Visual Merchandising and Display,618,296,303
527,TU796,Creative Digital Media,224,307,302
528,TU801,Sustainable Energy Engineering,235,293,322
529,TU802,Electrical Services and Energy Management,309,280,336
530,TU804,Engineering (Common Entry with Award options),270,281,308
531,TU805,Engineering (General Entry),466,188,352
532,TU807,Computer Engineering in Mobile Systems,274,702,440*
533,TU810,Mechatronic Engineering,271,251,367
534,TU811,Product Design,440,304,398
535,TU812,"Design,Technology and Innovation",278,220,300
536,TU814,Sustainable Transport Management,253,679,482
537,TU828,Mechanical Engineering (General Entry),300,303,301
538,TU829,Electronic Engineering (General Entry),248,,342
539,TU831,Architectural Technology,423,172,373
540,TU832,Architecture (Suitability Test and Interview),644,193,348
541,TU833,Construction Management,396,240,379
542,TU834,Geographic Science,315,252,377
543,TU835,Planning and Environmental Management,330,198,303
544,TU836,Property Economics (Valuation Surveying),411,206,285
545,TU837,Quantity Surveying and Construction Economics,413,172,298
546,TU838,Sustainable Timber Technology,307,219,300
547,TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",400,242,318
548,TU852,Chemical Sciences with Medicinal Chemistry,477,278,287
549,TU854,Science (General Entry),510,206,291
550,TU855,Science with Nanotechnology,322,212,310
551,TU856,Computer Science,499,244,252
552,TU857,Computer Science (Infrastructure),403,200,#790
553,TU858,Computer Science (International),395,226,331
554,TU859,Computing,251,241,406
555,TU860,Computing (Information Technology),270,260,218
556,TU861,Computing with Language (French/German/Spanish),235,288,252
557,TU862,Computing with Artificial Intelligence Machine Learning,262,265,235
558,TU863,Digital Forensics and Cyber Security,282,290,230
559,TU864,DNA and Forensic Analysis,500,224,302
560,TU865,Cloud Computing,235,300,304
561,TU866,Biomedical and Molecular Diagnostics,522,265,281
562,TU867,Biomedical Science,576,260,377
563,TU868,Clinical Measurement Science,542,298,300
564,TU869,Environmental Health,387,298,400
565,TU870,Human Nutrition and Dietetics,601,290,312
566,TU871,Optometry,532,235,331
567,TU872,Public Health Nutrition,487,330,304
568,TU874,Mathematical Sciences,294,293,413
569,TU875,Pharmaceutical Healthcare,451,313,336
