End of Season,,,,,,,,,,,,,,,,,,,,,,
"Level 8, 7 & 6 with ISCED Broad Field Code",,,,,,,,,,,,,,,,,,,,,,
The details  given are for general information only and do not form part of any contract. They are not intended for use in determining whether any individual applicant is or is not entitled to an offer of a higher education place,,,,,,,,,,,,,,,,,,,,,,
Random * = Not all on this points score were offered places,,,,,,,,,,,,,,,,,,,,,,
# = Test / Interview / Portfolio / Audition,,,,,,,,,,,,,,,,,,,,,,
AQA = All qualified applicants,,,,,,,,,,,,,,,,,,,,,,
avp = Available Places,,,,,,,,,,,,,,,,,,,,,,
v = New competition for available places resulted in a higher points cutoff,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,337,,,,337,,477,8,Trinity College Dublin,,,,,,,,,,,
Arts,Ancient History and Archaeology/Modern Language,TR114,337,,,,337,,420,8,Trinity College Dublin,,,,,,,,,,,
Arts,Ancient History and Archaeology/Religion,TR117,342,,,,342,,368,8,Trinity College Dublin,,,,,,,,,,,
Arts,Classical Civilisation/English Literature,TR166,498,*,496,,496,,523,8,Trinity College Dublin,,,,,,,,,,,
Arts,Classical Civilisation/History of Art and Architecture,TR173,335,,,,335,,466,8,Trinity College Dublin,,,,,,,,,,,
Arts,Classical Civilisation/Modern Language,TR177,335,,,,335,,536,8,Trinity College Dublin,,,,,,,,,,,
Arts,Classical Civilisation/Philosophy,TR179,499,,,,479,,518,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/Geography,TR198,534,,,,534,,552,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/History,TR202,534,,,,534,,566,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/Mathematics,TR207,566,*,,,566,*,601,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/Modern Language,TR208,534,,,,534,,578,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/Philosophy,TR209,534,,,,534,,576,8,Trinity College Dublin,,,,,,,,,,,
Arts,Economics/Sociology,TR212,534,,,,534,,541,8,Trinity College Dublin,,,,,,,,,,,
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,TR228,498,*,,,498,*,533,8,Trinity College Dublin,,,,,,,,,,,
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,349,,,,349,,444,8,Trinity College Dublin,,,,,,,,,,,
Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,,,349,,566,8,Trinity College Dublin,,,,,,,,,,,
Arts,Classical Languages/Modern Language,TR239,349,,,,349,,349,8,Trinity College Dublin,,,,,,,,,,,
Arts,English Literature/History,TR262,529,,,,529,,552,8,Trinity College Dublin,,,,,,,,,,,
Arts,English Literature/History of Art and Architecture,TR263,498,*,497,,497,,533,8,Trinity College Dublin,,,,,,,,,,,
Arts,English Literature/Philosophy,TR269,499,,,,495,,532,8,Trinity College Dublin,,,,,,,,,,,
Arts,English Literature/Sociology,TR272,498,*,,,498,*,519,8,Trinity College Dublin,,,,,,,,,,,
Arts,English Literature/Drama Studies,TR276,#498,,,,#476,,530,8,Trinity College Dublin,#,,,,,,,,,,
Arts,English Literature/Modern Language,TR277,498,*,495,,489,*,543,8,Trinity College Dublin,,,,,,,,,,,
Arts,Film/Drama Studies,TR311,#521,*,,,#521,*,557,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Film/English Literature,TR312,521,*,,,521,*,541,8,Trinity College Dublin,,,,,,,,,,,
Arts,Film/Music,TR320,521,*,,,521,*,555,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Geography/History,TR322,529,,,,529,,555,8,Trinity College Dublin,,,,,,,,,,,
Arts,Drama Studies/Modern Language,TR323,#473,,,,#473,,551,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Film/Modern Language,TR324,521,*,,,521,*,544,8,Trinity College Dublin,,,,,,,,,,,
Arts,Film/History,TR325,529,,,,529,,625,8,Trinity College Dublin,,,,,,,,,,,
Arts,Geography/Modern Language,TR326,352,,,,352,,440,8,Trinity College Dublin,,,,,,,,,,,
Arts,Geography/Sociology,TR332,498,*,496,,496,,520,8,Trinity College Dublin,,,,,,,,,,,
Arts,History/History of Art and Architecture,TR443,529,,,,529,,532,8,Trinity College Dublin,,,,,,,,,,,
Arts,History/Modern Language,TR447,529,,,,529,,554,8,Trinity College Dublin,,,,,,,,,,,
Arts,History/Philosophy,TR449,529,,,,529,,543,8,Trinity College Dublin,,,,,,,,,,,
Arts,History/Sociology,TR452,529,,,,529,,534,8,Trinity College Dublin,,,,,,,,,,,
Arts,History/Religion,TR454,529,,,,529,,534,8,Trinity College Dublin,,,,,,,,,,,
Arts,History of Art and Architecture/Modern Language,TR455,334,,,,334,,454,8,Trinity College Dublin,,,,,,,,,,,
Arts,History of Art and Architecture/Philosophy,TR479,499,,,,485,,555,8,Trinity College Dublin,,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,,,337,,473,8,Trinity College Dublin,,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,,,335,,543,8,Trinity College Dublin,,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,,,529,,555,8,Trinity College Dublin,,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,,,335,,451,8,Trinity College Dublin,,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,,,342,,,8,Trinity College Dublin,,,,,,,,,,,
Arts,Mathematics/Modern Language,TR597,566,*,,,566,*,625,8,Trinity College Dublin,,,,,,,,,,,
Arts,Mathematics/Music,TR598,566,*,,,566,*,,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Mathematics/Philosophy,TR599,566,*,,,566,*,589,8,Trinity College Dublin,,,,,,,,,,,
Arts,Music/Philosophy,TR629,499,,,,499,,,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Music/Drama Studies,TR635,#473,,,,#473,,487,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Music/Modern Language,TR636,388,,,,388,,455,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Music/Religion,TR638,388,,,,388,,440,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Philosophy/Modern Language,TR639,499,,,,499,,613,8,Trinity College Dublin,,,,,,,,,,,
Arts,Philosophy/Sociology,TR662,499,,,,499,,531,8,Trinity College Dublin,,,,,,,,,,,
Arts,Religion/Classical Civilisation,TR663,342,,,,342,,591,8,Trinity College Dublin,,,,,,,,,,,
Arts,Religion/English Literature,TR664,498,*,,,498,*,565,8,Trinity College Dublin,,,,,,,,,,,
Arts,Religion/History of Art and Architecture,TR665,342,,,,342,,452,8,Trinity College Dublin,,,,,,,,,,,
Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
Arts,French/Modern Language,TR667,403,,,,403,,478,8,Trinity College Dublin,,,,,,,,,,,
Arts,German/Modern Language,TR668,389,,,,389,,465,8,Trinity College Dublin,,,,,,,,,,,
Arts,Irish/Modern Language,TR669,368,,,,368,,473,8,Trinity College Dublin,,,,,,,,,,,
Arts,Italian/Modern Language,TR670,381,,,,381,,466,8,Trinity College Dublin,,,,,,,,,,,
Arts,Russian/Modern Language,TR671,332,,,,332,,494,8,Trinity College Dublin,,,,,,,,,,,
Arts,Spanish/Modern Language,TR672,336,,,,336,,488,8,Trinity College Dublin,,,,,,,,,,,
Arts,Sociology/Drama Studies,TR755,#498,,,,#498,,543,8,Trinity College Dublin,#,,,,,,,,,,
Arts,Sociology/Modern Language,TR756,498,,495,,495,,510,8,Trinity College Dublin,,,,,,,,,,,
Health,Dental Nursing,TR801,436,,419,,367,,455,7,Trinity College Dublin,,,,,,,,,,,
Health,Dental Hygiene,TR802,#543,,#511,,#498,,532,7,Trinity College Dublin,#,,,,,,,,,,
Health,Dental Technology,TR803,#531,,#486,,#359,,456,7,Trinity College Dublin,#,,,,,,,,,,
Health,Children`s and General Nursing (Integrated),TR911,511,,510,,499,*,521,8,Trinity College Dublin,,,,,,,,,,,
Health,Midwifery,TR913,478,,477,*,473,*,508,8,Trinity College Dublin,,,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,TU601,232,,,,230,,326,6,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Computer Engineering,TU602,223,,,,223,,330,6,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,TU603,197,,197,,197,,299,6,Technological University Dublin,,avp,,,,,,,,,
Personal services,Bar and Restaurant Management,TU641,223,,,,223,,356,6,Technological University Dublin,,,,,,,,,,,
Personal services,Culinary Arts,TU642,153,,,,153,,244,6,Technological University Dublin,,avp,,,,,,,,,
Personal services,Culinary Arts (Professional Cookery Practice),TU643,236,,,,236,,383,6,Technological University Dublin,,,,,,,,,,,
Personal services,Food Management and Entrepreneurship,TU644,223,,,,223,,456,6,Technological University Dublin,,,,,,,,,,,
Manufacturing and processing,Food Science and Management,TU645,241,,,,243,,390,6,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Applied Biology,TU651,205,,196,,196,,359,6,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Computing,TU652,194,,,,194,,265,6,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing (Information Technology),TU653,245,,,,245,,357,6,Technological University Dublin,,,,,,,,,,,
Health,Pharmacy Technician Studies,TU654,321,,,,321,,420,6,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,410,,335,,335,,459,6,Technological University Dublin,#,avp,,,,,,,,,
Business and administration,Business,TU671,226,,,,228,,403,6,Technological University Dublin,,,,,,,,,,,
Business and administration,Business (Common entry),TU672,180,,179,,179,,274,6,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Business Management,TU673,300,,,,300,,451,6,Technological University Dublin,,,,,,,,,,,
Business and administration,Business Studies,TU674,300,,,,306,,451,6,Technological University Dublin,,,,,,,,,,,
Business and administration,Marketing,TU675,301,,,,301,,412,6,Technological University Dublin,,,,,,,,,,,
Business and administration,Retail Management and Marketing,TU676,290,,,,290,,377,6,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Automation Engineering,TU701,260,,,,261,,368,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Biomedical Design,TU702,232,,232,,232,,351,7,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Building Engineering,TU703,260,,,,260,,359,7,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Civil Engineering,TU704,262,,,,262,,361,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Electrical and Control Engineering,TU705,243,,,,243,,339,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Electrical Services Engineering,TU706,244,,,,244,,307,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,TU707,224,,224,,224,,361,7,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,225,,,,225,,360,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Engineering (General Entry),TU709,370,,,,370,,487,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Engineering Reliability Management,TU710,244,,,,244,,305,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Mechatronic Engineering,TU711,223,,,,223,,372,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Sustainable Energy and Environmental Engineering,TU712,180,,180,,180,,332,7,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Computer Engineering,TU713,221,,,,221,,322,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Electronics and Communications Engineering,TU714,264,,,,264,,392,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Engineering Software,TU715,181,,181,,181,,391,7,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Networking Technology,TU716,241,,,,241,,386,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,TU717,300,,,,300,,367,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,TU718,198,,198,,198,,338,7,Technological University Dublin,,avp,,,,,,,,,
Manufacturing and processing,"Design,Technology and Innovation",TU719,228,,,,228,,363,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Automotive Management and Technology,TU720,232,,,,232,,338,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Aviation Technology,TU721,350,,,,352,,434,7,Technological University Dublin,,,,,,,,,,,
Manufacturing and processing,Process Instrumentation and Automation Learn and Work,TU722,292,,292,,401,,499,7,Technological University Dublin,#,avp,v,,,,,,,,
Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,290,,,,290,,372,7,Technological University Dublin,,,,,,,,,,,
Manufacturing and processing,Timber Product Technology,TU732,253,,198,,198,,372,7,Technological University Dublin,,avp,,,,,,,,,
Personal services,Sports Management and Coaching,TU735,270,,,,270,,347,7,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Sports Science and Health,TU736,410,,391,,391,,455,7,Technological University Dublin,,,,,,,,,,,
Personal services,Baking and Pastry Arts Management,TU741,234,,,,238,,412,7,Technological University Dublin,,,,,,,,,,,
Personal services,Culinary Arts,TU742,155,,155,,155,,319,7,Technological University Dublin,,avp,,,,,,,,,
Personal services,Hospitality Management,TU745,245,,,,245,,357,7,Technological University Dublin,,,,,,,,,,,
Personal services,International Hospitality and Tourism Management,TU746,170,,170,,170,,313,7,Technological University Dublin,,avp,,,,,,,,,
Personal services,Tourism Management,TU747,242,,,,242,,369,7,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Biosciences,TU751,407,,,,407,,509,7,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,DNA and Forensic Analysis,TU752,390,,,,390,,465,7,Technological University Dublin,,,,,,,,,,,
Physical sciences,Industrial and Environmental Physics,TU754,270,,,,270,,487,7,Technological University Dublin,,,,,,,,,,,
Physical sciences,Science (General Entry),TU755,361,,,,361,,498,7,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing,TU756,200,,195,,195,,357,7,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,225,,,,225,,352,7,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,220,,,,220,,337,7,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Information Technology Management,TU759,211,,,,211,,330,7,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Bioanalysis,TU760,204,,204,,204,,327,7,Technological University Dublin,,avp,,,,,,,,,
Health,Ophthalmic Dispensing,TU761,302,,,,319,,434,7,Technological University Dublin,,,,,,,,,,,
Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,,,,364,,510,7,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Pharmaceutical Science,TU763,382,,349,,349,,429,7,Technological University Dublin,,,,,,,,,,,
Business and administration,Business,TU771,224,,,,224,,392,7,Technological University Dublin,,,,,,,,,,,
Business and administration,Business (Common Entry with Award options),TU772,AQA,,227,,AQA,,317,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Management,TU774,195,,209,,195,,327,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Accounting and Finance,TU775,260,,,,260,,465,7,Technological University Dublin,,,,,,,,,,,
Business and administration,Accounting and Finance,TU776,182,,175,,175,,337,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Business and Information Technology,TU777,244,,,,244,,352,7,Technological University Dublin,,,,,,,,,,,
Business and administration,International Business,TU778,224,,,,226,,423,7,Technological University Dublin,,,,,,,,,,,
Business and administration,International Business,TU779,180,,180,,180,,368,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Advertising and Marketing Communications,TU780,179,,179,,179,,366,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Digital Marketing,TU781,220,,,,220,,326,7,Technological University Dublin,,,,,,,,,,,
Business and administration,Digital Marketing,TU782,179,,179,,179,,287,7,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Marketing,TU783,189,,189,,189,,360,7,Technological University Dublin,,avp,,,,,,,,,
Welfare,Applied Social Studies in Social Care,TU791,320,,,,320,,378,7,Technological University Dublin,,,,,,,,,,,
Social and behavioural sciences,Community and Youth Development,TU792,101,,250,,101,,288,7,Technological University Dublin,,avp,,,,,,,,,
Welfare,Early Childhood Care and Education,TU793,220,,,,220,,386,7,Technological University Dublin,,,,,,,,,,,
Welfare,Early Childhood Care and Education,TU794,390,,250,,230,,376,7,Technological University Dublin,,,,,,,,,,,
Arts,Visual Merchandising and Display,TU795,481,,,,481,,763,7,Technological University Dublin,#,,,,,,,,,,
Arts,Creative Digital Media,TU796,225,,,,225,,383,7,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Biomedical Design,TU801,235,,,,235,,381,8,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Electrical Services and Energy Management,TU802,317,,300,,300,,352,8,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,TU803,243,,243,,243,,337,8,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,271,,,,271,,338,8,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Engineering (General Entry),TU805,402,,,,402,,466,8,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Sustainable Energy Engineering,TU806,262,,,,262,,318,8,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,276,,,,276,,305,8,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Engineering Software,TU808,260,,260,,260,,339,8,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,TU809,235,,,,235,,347,8,Technological University Dublin,,avp,,,,,,,,,
Engineering and engineering trades,Mechatronic Engineering,TU810,270,,,,271,,312,8,Technological University Dublin,,,,,,,,,,,
Arts,Product Design,TU811,411,,,,411,,444,8,Technological University Dublin,,,,,,,,,,,
Manufacturing and processing,"Design,Technology and Innovation",TU812,270,,,,270,,350,8,Technological University Dublin,,,,,,,,,,,
Engineering and engineering trades,Automation Engineering,TU813,218,,218,,218,,339,8,Technological University Dublin,,avp,,,,,,,,,
Transport services,Transport Operations and Technology,TU814,285,,251,,251,,372,8,Technological University Dublin,,avp,,,,,,,,,
Architecture and construction,Architectural Technology,TU831,410,,,,410,,444,8,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Architecture (Suitability Test and Interview),TU832,622,,,,622,,658,8,Technological University Dublin,#,,,,,,,,,,
Architecture and construction,Construction Management,TU833,367,,,,367,,404,8,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Geographic Science,TU834,288,,,,288,,357,8,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Planning and Environmental Management,TU835,313,,,,313,,349,8,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Property Economics (Valuation Surveying),TU836,401,,,,401,,433,8,Technological University Dublin,,,,,,,,,,,
Architecture and construction,Quantity Surveying and Construction Economics,TU837,385,,,,385,,418,8,Technological University Dublin,,,,,,,,,,,
Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,,,349,,419,8,Technological University Dublin,,,,,,,,,,,
Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,476,,,,476,,498,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Science (General Entry),TU854,476,,,,476,,495,8,Technological University Dublin,,,,,,,,,,,
Physical sciences,Science with Nanotechnology,TU855,331,,319,,319,,368,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Science,TU856,476,,,,476,,487,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,391,,,,391,,419,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Science (International),TU858,377,,,,377,,424,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing,TU859,217,,234,,217,,308,8,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,260,,,,260,,329,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,308,,308,,308,,348,8,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Computing with Data Analytics,TU862,226,,226,,226,,288,8,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,280,,,,280,,338,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,DNA and Forensic Analysis,TU864,400,,390,,390,,429,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computing with IT Management,TU865,226,,,,226,,331,8,Technological University Dublin,,,,,,,,,,,
Health,Biomedical and Molecular Diagnostics,TU866,487,,,,487,,498,8,Technological University Dublin,,,,,,,,,,,
Health,Biomedical Science,TU867,524,,,,524,,542,8,Technological University Dublin,,,,,,,,,,,
Health,Clinical Measurement Science,TU868,510,,,,510,,520,8,Technological University Dublin,,,,,,,,,,,
Hygiene and occupational health services,Environmental Health,TU869,336,,,,336,,375,8,Technological University Dublin,,,,,,,,,,,
Health,Human Nutrition and Dietetics,TU870,578,,,,578,,589,8,Technological University Dublin,,,,,,,,,,,
Health,Optometry,TU871,509,,,,509,,530,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Public Health Nutrition,TU872,491,,,,491,,512,8,Technological University Dublin,,,,,,,,,,,
Mathematics and statistics,Industrial Mathematics,TU873,250,,250,,250,,392,8,Technological University Dublin,,avp,,,,,,,,,
Mathematics and statistics,Mathematical Sciences,TU874,341,,,,343,,407,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Pharmaceutical Healthcare,TU875,400,,,,400,,440,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Pharmaceutical Science,TU876,377,,349,,349,,391,8,Technological University Dublin,,,,,,,,,,,
Physical sciences,Physics Technology,TU877,308,,,,308,,373,8,Technological University Dublin,,,,,,,,,,,
Physical sciences,Physics with Energy and Environment,TU878,337,,337,,331,,444,8,Technological University Dublin,,avp,,,,,,,,,
Health,Physics with Medical Physics and Bioengineering,TU879,351,,,,351,,403,8,Technological University Dublin,,,,,,,,,,,
Physical sciences,Physics with Data Science,TU880,578,,,,,,,8,Technological University Dublin,,,,,,,,,,,
Manufacturing and processing,Food Innovation,TU881,318,,,,318,,389,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,397,,,,397,,442,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Business,TU901,270,,,,270,,307,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Business (Common Entry with Award options),TU902,271,,,,271,,359,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Business and Management,TU903,463,,,,463,,485,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Business and Law,TU904,462,,,,462,,487,8,Technological University Dublin,,,,,,,,,,,
Social and behavioural sciences,Economics and Finance,TU905,465,,,,465,,488,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Human Resource Management,TU906,395,,,,395,,414,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Logistics and Supply Chain Management,TU907,300,,,,300,,387,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Management,TU908,262,,253,,253,,337,8,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Accounting and Finance,TU909,285,,,,285,,326,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Accounting and Finance,TU910,444,,,,444,,466,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Accounting and Finance,TU911,209,,192,,192,,319,8,Technological University Dublin,,avp,,,,,,,,,
Information and Communication Technologies (ICTs),Business Analytics,TU912,330,,,,330,,366,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Business and Information Technology,TU913,252,,,,252,,299,8,Technological University Dublin,,,,,,,,,,,
Information and Communication Technologies (ICTs),Business Computing,TU914,324,,,,324,,366,8,Technological University Dublin,,,,,,,,,,,
Business and administration,International Business,TU915,252,,,,252,,302,8,Technological University Dublin,,,,,,,,,,,
Business and administration,International Business,TU916,235,,235,,235,,337,8,Technological University Dublin,,avp,,,,,,,,,
Law,Law (LLB ) with a Language,TU917,342,,,,342,,433,8,Technological University Dublin,,,,,,,,,,,
Law,Law (LLB),TU918,451,,,,451,,478,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Advertising and Marketing Communications,TU919,228,,226,,226,,311,8,Technological University Dublin,,avp,,,,,,,,,
Business and administration,Digital Marketing,TU920,270,,,,270,,318,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Digital Marketing Technologies,TU921,212,,212,,234,,300,8,Technological University Dublin,,avp,v,,,,,,,,
Business and administration,Marketing,TU922,418,,,,418,,443,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Marketing Management,TU923,228,,276,,228,,318,8,Technological University Dublin,,avp,,,,,,,,,
Business and administration,E-Commerce in Retailing,TU924,307,,,,307,,380,8,Technological University Dublin,,,,,,,,,,,
Business and administration,Retail and Services Management,TU925,301,,,,301,,362,8,Technological University Dublin,,,,,,,,,,,
Personal services,Sports Management and Coaching,TU935,300,,,,300,,347,8,Technological University Dublin,,,,,,,,,,,
Biological and related sciences,Sports Science and Health,TU936,410,,391,,391,,419,8,Technological University Dublin,,,,,,,,,,,
Personal services,Botanical Cuisine,TU941,249,,,,249,,257,8,Technological University Dublin,,avp,,,,,,,,,
Personal services,Culinary Arts,TU942,212,,212,,212,,340,8,Technological University Dublin,,avp,,,,,,,,,
Personal services,Culinary Entrepreneurship,TU943,278,,,,279,,357,8,Technological University Dublin,,,,,,,,,,,
Personal services,Culinary Science,TU944,316,,,,316,,379,8,Technological University Dublin,,,,,,,,,,,
Personal services,International Hospitality and Tourism Management,TU951,184,,184,,200,,298,8,Technological University Dublin,,avp,v,,,,,,,,
Personal services,International Hospitality Management,TU952,300,,,,306,,368,8,Technological University Dublin,,,,,,,,,,,
Personal services,Tourism and Digital Marketing,TU953,290,,,,290,,359,8,Technological University Dublin,,,,,,,,,,,
Personal services,Event Management,TU954,356,,,,356,,404,8,Technological University Dublin,,,,,,,,,,,
Personal services,Sports & Leisure Management,TU955,217,,317,,217,,347,8,Technological University Dublin,,avp,,,,,,,,,
Arts,Commercial Modern Music,TU961,608,,608,,608,,848,8,Technological University Dublin,#,avp,,,,,,,,,
Arts,Drama (Performance),TU962,379,,,,379,,500,8,Technological University Dublin,#,,,,,,,,,,
Arts,Music,TU963,416,,,,416,,535,8,Technological University Dublin,#,,,,,,,,,,
Business and administration,International Business and Languages,TU965,356,,346,,346,,413,8,Technological University Dublin,,,,,,,,,,,
Languages,Languages and English Studies,TU966,366,,,,434,,466,8,Technological University Dublin,,avp,v,,,,,,,,
